row,col,code,name
1,12,ME,Maine
2,7,WI,Wisconsin
2,11,VT,Vermont
2,12,NH,New Hampshire
3,2,WA,Washington
3,3,ID,Idaho
3,4,MT,Montana
3,5,ND,North Dakota
3,6,MN,Minnesota
3,7,IL,Illinois
3,8,MI,Michigan
3,9,NY,New York
3,11,MA,Massachusetts
4,2,OR,Oregon
4,3,NV,Nevada
4,4,WY,Wyoming
4,5,SD,South Dakota
4,6,IA,Iowa
4,7,IN,Indiana
4,8,OH,Ohio
4,9,PA,Pennsylvania
4,10,NJ,New Jersey
4,11,CT,Connecticut
4,12,RI,Rhode Island
5,2,CA,California
5,3,UT,Utah
5,4,CO,Colorado
5,5,NE,Nebraska
5,6,MO,Missouri
5,7,KY,Kentucky
5,8,WV,West Virginia
5,9,VA,Virginia
5,10,MD,Maryland
5,11,DE,Delaware
6,3,AZ,Arizona
6,4,NM,New Mexico
6,5,KS,Kansas
6,6,AR,Arkansas
6,7,TN,Tennessee
6,8,NC,North Carolina
6,9,SC,South Carolina
6,10,DC,District of Columbia
7,1,AK,Alaska
7,5,OK,Oklahoma
7,6,LA,Louisiana
7,7,MS,Mississippi
7,8,AL,Alabama
7,9,GA,Georgia
8,1,HI,Hawaii
8,5,TX,Texas
8,10,FL,Florida
